Dimensions,Weight (lbs),FedEx Ground or FedEx Home Delivery,FedEx Standard Overnight,UPS Ground,UPS 3 Day Select,UPS 2nd Day Air,UPS Next Day Air Savar,UPS Next Day Air,USPS Priority,USPS Priority Express
30x15x15,39,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
30x17x16,39,37.43,287.77,44.67,63.2,89.97,177.2,185.93,120.92,329.68
30x17x17,39,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x16,39,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x18,39,39.16,346.44,47.42,72.79,103.92,203.9,213.96,128.95,383.55
30x20x4,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,84.03,240.27
30x20x6,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,109.03,265.27
30x20x8,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,109.03,265.27
30x20x10,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,109.03,265.27
30x20x12,39,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x20x18,39,133.08,752.83,61.8,92.0,126.52,236.41,247.52,136.28,423.57
30x20x20,39,75.14,454.29,65.02,99.67,138.23,257.94,270.12,0.0,0.0
30x24x6,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,109.03,265.27
30x24x10,39,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x24x12,39,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x24x20,39,80.94,509.19,73.79,115.54,163.9,303.01,317.45,0.0,0.0
30x24x24,39,90.83,625.23,87.35,135.96,196.91,360.97,378.3,0.0,0.0
30x26x24,39,94.95,669.98,93.92,145.03,211.59,386.73,405.35,0.0,0.0
30x30x6,39,32.61,246.88,38.09,51.47,72.92,144.57,151.67,109.03,265.27
30x30x8,39,66.77,306.39,53.47,68.55,92.42,171.15,178.99,114.61,295.52
30x30x10,39,69.53,362.72,57.17,80.28,109.47,203.78,213.26,0.0,0.0
30x30x12,39,72.53,420.55,61.8,92.0,126.52,236.41,247.52,0.0,0.0
24x18x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
24x18x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
24x18x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
24x18x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
